TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
R2US,SSGA SPDR ETFS EUROPE II PLC,SPDR RUSSELL 2000 US SMALL CAP ETF,IE00BJ38QD84,ETFS,ETFs,Financials,Financial Services ,41822,Ireland,USD,MAIN MARKET,,EUET,UETY
SEMH,SSGA SPDR ETFS EUROPE II PLC,SPDR ICE BOFA 0-5 YR US GOV BOND UCITS,IE00BP46NG52,ETFS,ETFs,Financials,Financial Services ,41960,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
SUKC,SSGA SPDR ETFS EUROPE II PLC,SPDR BBARC 0-5 YEAR GBP CORP BOND ETF,IE00BCBJF711,ETFS,ETFs,Financials,Financial Services ,41689,Ireland,GBP,MAIN MARKET,,EUET,UETY
SXLB,SSGA SPDR ETFS EUROPE II PLC,SPDR S&P US MATERIALS UCITS ETF,IE00BWBXM831,ETFS,ETFs,Financials,Financial Services ,42194,Ireland,USD,MAIN MARKET,,EUET,UETY
SXLC,SSGA SPDR ETFS EUROPE II PLC,SPDR S&P US COMM SERV UCITS ETF,IE00BFWFPX50,ETFS,ETFs,Financials,Financial Services ,43329,Ireland,USD,MAIN MARKET,,EUET,UETY
SXLE,SSGA SPDR ETFS EUROPE II PLC,SPDR S&P US ENERGY UCITS ETF,IE00BWBXM492,ETFS,ETFs,Financials,Financial Services ,42194,Ireland,USD,MAIN MARKET,,EUET,UETY
SXLF,SSGA SPDR ETFS EUROPE II PLC,SPDR S&P US FINANCIALS UCITS ETF,IE00BWBXM500,ETFS,ETFs,Financials,Financial Services ,42194,Ireland,USD,MAIN MARKET,,EUET,UETY
SXLI,SSGA SPDR ETFS EUROPE II PLC,SPDR S&P US INDUSTRIALS UCITS ETF,IE00BWBXM724,ETFS,ETFs,Financials,Financial Services ,42194,Ireland,USD,MAIN MARKET,,EUET,UETY
SXLK,SSGA SPDR ETFS EUROPE II PLC,SPDR S&P US TECHNOLOGY UCITS ETF,IE00BWBXM948,ETFS,ETFs,Financials,Financial Services ,42194,Ireland,USD,MAIN MARKET,,EUET,UETY
SXLP,SSGA SPDR ETFS EUROPE II PLC,SPDR S&P US CONSUMER STAPLES UCITS ETF,IE00BWBXM385,ETFS,ETFs,Financials,Financial Services ,42194,Ireland,USD,MAIN MARKET,,EUET,UETY
