TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
CSRD,CORDIANT DIGITAL INFRASTRUCTURE LIMITED,SUB SHS NPV,GG00BMDGQT90,SHRS,Shares,Financials,Financial Services ,44243,Guernsey,GBX,MAIN MARKET - SFS,,SFM2,SFQQ
CNS,CORERO NETWORK SECURITY PLC,ORD 1P,GB00B54X0432,SHRS,Shares,Technology,Technology,39994,United Kingdom,GBX,AIM,,ASX1,AIMP
CSFS,CORNERSTONE FS PLC,ORD 1P,GB00BNG7CD28,SHRS,Shares,Industrials,Industrial Goods and Services,44292,United Kingdom,GBX,AIM,,ASQ1,AMQ1
CUSN,CORNISH METALS INC.,COM SHS NPV (DI),CA21948L1040,SHRS,Shares,Basic Materials,Basic Resources,44243,Canada,GBX,AIM,,ASQ1,AMQ1
CORO,CORO ENERGY PLC,ORD 0.1P,GB00BDCFP425,SHRS,Shares,Energy,Energy,42790,United Kingdom,GBX,AIM,,ASQ1,AMQ1
COST,COSTAIN GROUP PLC,ORD 50P,GB00B64NSP76,SHRS,Shares,Industrials,Industrial Goods and Services,40308,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CSP,COUNTRYSIDE PROPERTIES PLC,ORD 1P,GB00BYPHNG03,SHRS,Shares,Consumer Discretionary,Consumer Products and Services,42412,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CPP,CPPGROUP PLC,ORD GBP1.00,GB00BMDX5Z93,SHRS,Shares,Industrials,Industrial Goods and Services,43980,United Kingdom,GBX,AIM,,AMSM,ASM8
CYN,CQS NATURAL RESOURCES GROWTH AND INCOME PLC,ORD 25P,GB0000353929,SHRS,Shares,Financials,Financial Services ,39434,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
NCYF,CQS NEW CITY HIGH YIELD FUND LIMITED,ORD NPV,JE00B1LZS514,SHRS,Shares,Financials,Financial Services ,39148,Jersey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
CRW,CRANEWARE PLC,ORD 1P,GB00B2425G68,SHRS,Shares,Health Care ,Health Care  ,39338,United Kingdom,GBX,AIM,,ASQ1,AMQ1
CWK,CRANSWICK PLC,ORD 10P,GB0002318888,SHRS,Shares,Consumer Staples ,"Food, Beverage and Tobacco ",38541,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CRV,CRAVEN HOUSE CAPITAL PLC,ORD USD1.00,GB00BD4FQ360,SHRS,Shares,Financials,Financial Services ,42586,United Kingdom,USD,AIM,,ASQ1,AMQ1
CRL,CREIGHTONS PLC,ORD 1P,GB0002341666,SHRS,Shares,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",38792,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
CREO,CREO MEDICAL GROUP PLC,ORD GBP0.001,GB00BZ1BLL44,SHRS,Shares,Health Care ,Health Care  ,42713,United Kingdom,GBX,AIM,,ASQ1,AMQ1
CRST,CREST NICHOLSON HOLDINGS PLC,ORD 5P,GB00B8VZXT93,SHRS,Shares,Consumer Discretionary,Consumer Products and Services,41318,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
97GM,CRH PLC,7%'A'CUM PRF EUR 1.27 (CDI),IE0001827603,SHRS,Shares,Industrials,Construction and Materials,37435,Ireland,GBX,MAIN MARKET,Standard Shares,SSX4,SXCL
CRH,CRH PLC,ORD EUR 0.32 (CDI),IE0001827041,SHRS,Shares,Industrials,Construction and Materials,38541,Ireland,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
TIDE,CRIMSON TIDE PLC,ORD 0.1P,GB0002080082,SHRS,Shares,Technology,Technology,38951,United Kingdom,GBX,AIM,,ASX1,AIMP
CRTM,CRITICAL METALS PLC,ORD GBP0.005,GB00BJVR6M63,SHRS,Shares,Financials,Financial Services ,44103,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
49GP,CRODA INTERNATIONAL PLC,6.6% CUM PRF #1,GB0002342854,SHRS,Shares,Basic Materials,Chemicals,37435,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSX4,SXSN
50GP,CRODA INTERNATIONAL PLC,5.9% CUM PRF #1,GB0002343159,SHRS,Shares,Basic Materials,Chemicals,37435,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSX4,SXSN
CRDA,CRODA INTERNATIONAL PLC,ORD 10.609756P,GB00BJFFLV09,SHRS,Shares,Basic Materials,Chemicals,43584,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
CSSG,CROMA SECURITY SOLUTIONS GROUP PLC,ORD 5P,GB00B5MJV178,SHRS,Shares,Industrials,Industrial Goods and Services,40995,United Kingdom,GBX,AIM,,ASX1,AIMP
CRPR,CROPPER (JAMES) PLC,ORD 25P,GB0002346053,SHRS,Shares,Basic Materials,Basic Resources,36417,United Kingdom,GBX,AIM,,ASX1,AIMP
CCS,CROSSWORD CYBERSECURITY PLC,ORD 5P,GB00BPFJXS57,SHRS,Shares,Technology,Technology,43448,United Kingdom,GBX,AIM,,ASQ1,AMQ1
CRWN,CROWN PLACE VCT PLC,ORD 1P,GB0002577434,SHRS,Shares,Financials,Financial Services ,38730,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
CRS,CRYSTAL AMBER FUND LIMITED,ORD 1P,GG00B1Z2SL48,SHRS,Shares,Financials,Financial Services ,39616,Guernsey,GBX,AIM,,ASX1,AIMP
CBP,CURTIS BANKS GROUP PLC,ORD 0.5P,GB00BW0D4R71,SHRS,Shares,Financials,Financial Services ,42131,United Kingdom,GBX,AIM,,AMSM,ASM7
CZN,CURZON ENERGY PLC,ORD 0.01P,GB00BD97ND60,SHRS,Shares,Energy,Energy,43012,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
CREI,CUSTODIAN REIT PLC,ORD 1P,GB00BJFLFT45,SHRS,Shares,Real Estate,Real Estate ,41724,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
CCPE,CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED,ORD NPV EURO,JE00B9G79F59,SHRS,Shares,Financials,Financial Services ,41450,Jersey,EUR,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON10
CCPG,CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED,ORD NPV GBP,JE00B9MRHZ51,SHRS,Shares,Financials,Financial Services ,41450,Jersey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
CVSG,CVS GROUP PLC,ORD 0.2P,GB00B2863827,SHRS,Shares,Consumer Discretionary,Consumer Products and Services,39525,United Kingdom,GBX,AIM,,AMSM,AS50
CYAN,CYANCONNODE HOLDINGS PLC,ORD 2P,GB00BF93WP34,SHRS,Shares,Telecommunications,Telecommunications,43011,United Kingdom,GBX,AIM,,ASX1,AIMP
CYBA,CYBA PLC,ORD GBP0.0001,GB00BMH18M70,SHRS,Shares,Financials,Financial Services ,44263,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
D4T4,D4T4 SOLUTIONS PLC,ORD 2P,GB0001351955,SHRS,Shares,Technology,Technology,36844,United Kingdom,GBX,AIM,,ASQ1,AMQ1
DMGT,DAILY MAIL & GENERAL TRUST PLC,'A'ORD(NON.V)12.5P,GB00BJQZC279,SHRS,Shares,Consumer Discretionary,Media,43556,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSMU,SMEU
DFI,DAIRY FARM INTERNATIONAL HOLDINGS LD,ORD $0.05 5/9 (SING.REG),BMG2624N1535,SHRS,Shares,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",38257,Bermuda,USD,MAIN MARKET,Standard Shares,SSX4,SXSN
DFIB,DAIRY FARM INTERNATIONAL HOLDINGS LD,ORD $0.05 5/9 (BERMUDA REGD),BMG2624N1535,SHRS,Shares,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",38294,Bermuda,USD,MAIN MARKET,Standard Shares,SSX4,SXSN
DFIJ,DAIRY FARM INTERNATIONAL HOLDINGS LD,ORD $0.05 5/9 (JERSEY REG),BMG2624N1535,SHRS,Shares,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",38294,Bermuda,USD,MAIN MARKET,Standard Shares,SSX4,SXSN
DAL,DALATA HOTEL GROUP PLC,ORD EUR0.01 (CDI),IE00BJMZDW83,SHRS,Shares,Consumer Discretionary,Travel and Leisure,41717,Ireland,GBX,MAIN MARKET,Standard Shares,SSMU,SMEX
DNK,DANAKALI LIMITED,ORDS NPV,AU000000DNK9,SHRS,Shares,Basic Materials,Basic Resources,43305,Australia,GBX,MAIN MARKET,Standard Shares,SSX3,SQSL
DARK,DARKTRACE PLC,ORD GBP0.01 (WI),GB00BNYK8G86,SHRS,Shares,Technology,Technology,,United Kingdom,GBX,MAIN MARKET,,SET3,OL10
DAT,DATANG INTERNATIONAL POWER GENERATION COMPANY LD,'H'SHS CNY1.00,CNE1000002Z3,SHRS,Shares,Utilities,Utilities,39372,China,GBX,MAIN MARKET,Standard Shares,SSX4,SXSN
DVT,DAVICTUS PLC,ORD NPV,JE00BYY5RQ34,SHRS,Shares,Financials,Financial Services ,42398,Jersey,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
DCC,DCC PLC,ORD EUR0.25 (CDI),IE0002424939,SHRS,Shares,Industrials,Industrial Goods and Services,38541,Ireland,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
DCD,DCD MEDIA PLC,ORD GBP1.00,GB00BBD7QB75,SHRS,Shares,Consumer Discretionary,Media,41456,United Kingdom,GBX,AIM,,ASX1,AIMP
DPH,DECHRA PHARMACEUTICALS PLC,ORD 1P,GB0009633180,SHRS,Shares,Health Care ,Health Care  ,38688,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DMTR,DEEPMATTER GROUP PLC,ORD 0.01P,GB00B29YYY86,SHRS,Shares,Technology,Technology,39447,United Kingdom,GBX,AIM,,ASX1,AIMP
DVRG,DEEPVERGE PLC,ORD 0.1P,GB00BMGWZY29,SHRS,Shares,Health Care ,Health Care  ,44090,United Kingdom,GBX,AIM,,ASQ1,AMQ1
DKL,DEKEL AGRI-VISION PLC,ORD EUR0.0003367 (DI),CY0106502111,SHRS,Shares,Consumer Staples ,"Food, Beverage and Tobacco ",42542,Cyprus,GBX,AIM,,ASQ1,AMQ1
DLAR,DE LA RUE PLC,ORD 44 152/175P,GB00B3DGH821,SHRS,Shares,Industrials,Industrial Goods and Services,39769,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
ROO,DELIVEROO PLC,CLASS A ORD 0.5P,GB00BNC5T391,SHRS,Shares,Technology,Technology,44293,United Kingdom,GBX,MAIN MARKET,Standard Shares,SET3,ON10
DEMG,DELTEX MEDICAL GROUP PLC,ORD 1P,GB0059337583,SHRS,Shares,Health Care ,Health Care  ,38071,United Kingdom,GBX,AIM,,ASX1,AIMP
DELT,DELTIC ENERGY PLC,ORD 0.5P,GB00B6SYKF01,SHRS,Shares,Energy,Energy,41051,United Kingdom,GBX,AIM,,ASQ1,AMQ1
DLN,DERWENT LONDON PLC,ORD 5P,GB0002652740,SHRS,Shares,Real Estate,Real Estate ,39114,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DEST,DESTINY PHARMA PLC,ORD GBP0.01,GB00BDHSP575,SHRS,Shares,Health Care ,Health Care  ,42982,United Kingdom,GBX,AIM,,ASQ1,AMQ1
DEV,DEV CLEVER HOLDINGS PLC,ORD GBP0.01,GB00BH452L44,SHRS,Shares,Technology,Technology,43486,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
DVO,DEVRO PLC,ORD 10P,GB0002670437,SHRS,Shares,Consumer Staples ,"Food, Beverage and Tobacco ",38541,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
DWHA,DEWHURST PLC,'A'NON.VTG ORD 10P,GB0002675261,SHRS,Shares,Technology,Technology,39204,United Kingdom,GBX,AIM,,ASX1,AIMP
DWHT,DEWHURST PLC,ORD 10P,GB0002675048,SHRS,Shares,Technology,Technology,39204,United Kingdom,GBX,AIM,,ASX1,AIMP
DFS,DFS FURNITURE PLC,ORD GBP0.10,GB00BTC0LB89,SHRS,Shares,Consumer Discretionary,Retail ,42069,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
DXRX,DIACEUTICS PLC,ORD GBP0.002,GB00BJQTGV64,SHRS,Shares,Health Care ,Health Care  ,43545,United Kingdom,GBX,AIM,,ASQ1,AMQ1
DGE,DIAGEO PLC,ORD 28 101/108P,GB0002374006,SHRS,Shares,Consumer Staples ,"Food, Beverage and Tobacco ",37949,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
DGED,DIAGEO PLC,ADR (4:1),US25243Q2057,DPRS,Depositary receipts,Consumer Staples ,"Food, Beverage and Tobacco ",37435,United Kingdom,USD,MAIN MARKET,Standard GDRs,MISL,ADPL
DIA,DIALIGHT PLC,ORD 1.89P,GB0033057794,SHRS,Shares,Industrials,Industrial Goods and Services,39069,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
DGI9,DIGITAL 9 INFRASTRUCTURE PLC,ORD NPV,JE00BMDKH437,SHRS,Shares,Telecommunications,Telecommunications,44286,Jersey,GBX,MAIN MARKET - SFS,,SFM1,SFML
DBOX,DIGITALBOX PLC,ORD 1P,GB00BJK9H642,SHRS,Shares,Consumer Discretionary,Media,43524,United Kingdom,GBX,AIM,,ASX1,AIMP
DTY,DIGNITY PLC,ORD 12 48/143P,GB00BRB37M78,SHRS,Shares,Consumer Discretionary,Consumer Products and Services,41946,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
DSG,DILLISTONE GROUP PLC,ORD 5P,GB00B13QQB40,SHRS,Shares,Technology,Technology,39196,United Kingdom,GBX,AIM,,ASQ1,AMQ1
DPLM,DIPLOMA PLC,ORD 5P,GB0001826634,SHRS,Shares,Industrials,Industrial Goods and Services,38541,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DCTA,DIRECTA PLUS PLC,ORD 0.25P,GB00BSM98843,SHRS,Shares,Basic Materials,Chemicals,42517,United Kingdom,GBX,AIM,,ASQ1,AMQ1
DLG,DIRECT LINE INSURANCE GROUP PLC,ORD 10 10/11P,GB00BY9D0Y18,SHRS,Shares,Financials,Insurance,42185,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DSCV,DISCOVERIE GROUP PLC,ORD 5P,GB0000055888,SHRS,Shares,Technology,Technology,38688,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
DTVL,DISH TV INDIA LIMITED,GDR (EACH REPR ONE SHR),US25471A4013,DPRS,Depositary receipts,Consumer Discretionary,Media,43203,India,USD,PROFESSIONAL SECURITIES MARKET,Standard GDRs,IOBE,IPHE
DIS,DISTIL PLC,ORD 0.1P,GB0030164023,SHRS,Shares,Consumer Staples ,"Food, Beverage and Tobacco ",38006,United Kingdom,GBX,AIM,,ASX1,AIMP
DFCH,DISTRIBUTION FINANCE CAPITAL HOLDINGS PLC,ORD 1P,GB00BJ7HMR72,SHRS,Shares,Financials,Financial Services ,43594,United Kingdom,GBX,AIM,,ASQ1,AMQ1
DNL,DIURNAL GROUP PLC,ORD GBP0.05,GB00BDB6Q760,SHRS,Shares,Health Care ,Health Care  ,42362,United Kingdom,GBX,AIM,,ASQ1,AMQ1
DIVI,DIVERSE INCOME TRUST (THE) PLC,ORD 0.1P,GB00B65TLW28,SHRS,Shares,Financials,Financial Services ,40661,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
DGOC,DIVERSIFIED GAS & OIL PLC,ORD 1P,GB00BYX7JT74,SHRS,Shares,Energy,Energy,42769,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
DC.,DIXONS CARPHONE PLC,ORD 0.1P,GB00B4Y7R145,SHRS,Shares,Consumer Discretionary,Retail ,40261,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DCI,DOLPHIN CAPITAL INVESTORS LIMITED,COM SHS EUR0.01,VGG2803G1028,SHRS,Shares,Real Estate,Real Estate ,38694,British Virgin Islands,GBX,AIM,,ASQ1,AMQ1
DOM,DOMINO'S PIZZA GROUP PLC,ORD  25/48P,GB00BYN59130,SHRS,Shares,Consumer Discretionary,Travel and Leisure,42548,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DNA,DORIC NIMROD AIR ONE LIMITED,ORD PRF SHS NPV,GG00B4MF3899,SHRS,Shares,Financials,Financial Services ,40525,Guernsey,GBX,MAIN MARKET - SFS,,SFM2,SFQQ
DNA3,DORIC NIMROD AIR THREE LIMITED,RED ORD PREF SHS NPV,GG00B92LHN58,SHRS,Shares,Industrials,Industrial Goods and Services,41457,Guernsey,GBX,MAIN MARKET - SFS,,SFM2,SFQQ
DNA2,DORIC NIMROD AIR TWO LIMITED,ORD PREF SHS NPV,GG00B3Z62522,SHRS,Shares,Industrials,Industrial Goods and Services,40738,Guernsey,GBX,MAIN MARKET - SFS,,SFM2,SFQQ
DOTD,DOTDIGITAL GROUP PLC,ORD 0.5P,GB00B3W40C23,SHRS,Shares,Technology,Technology,40631,United Kingdom,GBX,AIM,,AMSM,AS50
D467,DOWNING FOUR VCT PLC,DP67 ORD 0.1P,GB00BWX53D91,SHRS,Shares,Financials,Financial Services ,42215,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX3,SQNC
D4G,DOWNING FOUR VCT PLC,GENERALIST ORD 0.1P,GB00BDHF5B49,SHRS,Shares,Financials,Financial Services ,42787,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX3,SQNC
D4H,DOWNING FOUR VCT PLC,HEALTHCARE ORD 0.1P,GB00BDHF5D62,SHRS,Shares,Financials,Financial Services ,42787,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX3,SQNC
DO1D,DOWNING FOUR VCT PLC,DSO D SHS 0.1P,GB00B6QPQ463,SHRS,Shares,Financials,Financial Services ,40899,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX3,SQNC
DDV1,DOWNING ONE VCT PLC,ORD 1P,GB00BFRSVQ41,SHRS,Shares,Financials,Financial Services ,41593,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
DORE,DOWNING RENEWABLES & INFRASTRUCTURE TRUST PLC,ORD GBP0.01,GB00BLF7PP25,SHRS,Shares,Financials,Financial Services ,44175,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
DSM,DOWNING STRATEGIC MICRO-CAP INVESTMENT TRUST PLC,RED ORD GBP0.001,GB00BF0SCX52,SHRS,Shares,Financials,Financial Services ,42864,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
DPA,DP AIRCRAFT I LIMITED,ORD PREF NPV,GG00BBP6HP33,SHRS,Shares,Industrials,Industrial Goods and Services,41551,Guernsey,USD,MAIN MARKET - SFS,,SFM2,SFQQ
DPEU,DP EURASIA N.V.,ORD EUR0.12 (DI),NL0012328801,SHRS,Shares,Consumer Discretionary,Travel and Leisure,42914,Netherlands,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
DPP,DP POLAND PLC,ORD 0.5P,GB00B3Q74M51,SHRS,Shares,Consumer Discretionary,Travel and Leisure,40387,United Kingdom,GBX,AIM,,ASQ1,AMQ1
GROW,DRAPER ESPRIT PLC,ORD GBP0.01,GB00BY7QYJ50,SHRS,Shares,Financials,Financial Services ,42536,United Kingdom,GBX,AIM,,AMSM,AE50
DEVC,DRAPER ESPRIT VCT PLC,ORD 5P,GB0002867140,SHRS,Shares,Financials,Financial Services ,37574,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
DRX,DRAX GROUP PLC,ORD 11 16/29P,GB00B1VNSX38,SHRS,Shares,Utilities,Utilities,39202,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DRV,DRIVER GROUP PLC,ORD 0.4P,GB00B0L9C092,SHRS,Shares,Industrials,Industrial Goods and Services,38888,United Kingdom,GBX,AIM,,ASX1,AIMP
DOCS,DR. MARTENS PLC,ORD GBP0.01,GB00BL6NGV24,SHRS,Shares,Consumer Discretionary,Consumer Products and Services,44230,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
DRIP,DRUM INCOME PLUS REIT PLC,ORD 10P,GB00BW4NWS02,SHRS,Shares,Real Estate,Real Estate ,42153,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
DRUM,DRUMZ PLC,ORD 0.1P,GB00B06CZD75,SHRS,Shares,Financials,Financial Services ,38706,United Kingdom,GBX,AIM,,ASX1,AIMP
DKE,DUKEMOUNT CAPITAL PLC,ORD GBP0.001,GB00B6WZDF03,SHRS,Shares,Real Estate,Real Estate ,42823,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
DUKE,DUKE ROYALTY LIMITED,ORDS NPV,GG00BYZSSY63,SHRS,Shares,Financials,Financial Services ,42172,Guernsey,GBX,AIM,,ASQ1,AMQ1
DNE,DUNEDIN ENTERPRISE INVESTMENT TRUST PLC,ORD 25P,GB0005776561,SHRS,Shares,Financials,Financial Services ,38705,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
DIG,DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC,ORD 25P,GB0003406096,SHRS,Shares,Financials,Financial Services ,39059,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
DNLM,DUNELM GROUP PLC,ORD 1P,GB00B1CKQ739,SHRS,Shares,Consumer Discretionary,Retail ,39251,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
DWF,DWF GROUP PLC,ORD 1P,GB00BJMD6M39,SHRS,Shares,Industrials,Industrial Goods and Services,43535,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
DX.,DX (GROUP) PLC,ORD 1P,GB00BJTCG679,SHRS,Shares,Industrials,Industrial Goods and Services,41697,United Kingdom,GBX,AIM,,ASQ1,AMQ1
EYE,EAGLE EYE SOLUTIONS GROUP PLC,ORD 1P,GB00BKF1YD83,SHRS,Shares,Technology,Technology,41745,United Kingdom,GBX,AIM,,ASQ1,AMQ1
EZJ,EASYJET PLC,ORD 27 2/7P,GB00B7KR2P84,SHRS,Shares,Consumer Discretionary,Travel and Leisure,40973,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
EBQ,EBIQUITY PLC,ORD 25P,GB0004126057,SHRS,Shares,Consumer Discretionary,Media,36679,United Kingdom,GBX,AIM,,ASX1,AIMP
ELLA,ECCLESIASTICAL INSURANCE OFFICE PLC,8.625% NON CUM IRRD PRF #1,GB0003035382,SHRS,Shares,Financials,Insurance,38334,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
ECHO,ECHO ENERGY PLC,ORD 0.25P,GB00BF0YPG76,SHRS,Shares,Energy,Energy,42878,United Kingdom,GBX,AIM,,ASQ1,AMQ1
ECK,ECKOH PLC,ORD 0.25P,GB0033359141,SHRS,Shares,Technology,Technology,37799,United Kingdom,GBX,AIM,,ASQ1,AMQ1
EAH,ECO ANIMAL HEALTH GROUP PLC,ORD 5P,GB0032036807,SHRS,Shares,Health Care ,Health Care  ,39616,United Kingdom,GBX,AIM,,ASX1,AIMP
ECO,ECO (ATLANTIC) OIL & GAS LTD,COM SHS NPV (DI),CA27887W1005,SHRS,Shares,Energy,Energy,42774,Canada,GBX,AIM,,ASQ1,AMQ1
EGL,ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST PLC,ORD 1P,GB00BD3V4641,SHRS,Shares,Financials,Financial Services ,42639,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
RNEP,ECOFIN U.S. RENEWABLES INFRASTRUCTURE TRUST PLC,ORD USD0.01,GB00BLPK4430,SHRS,Shares,Financials,Financial Services ,44187,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
RNEW,ECOFIN U.S. RENEWABLES INFRASTRUCTURE TRUST PLC,ORD USD0.01,GB00BLPK4430,SHRS,Shares,Financials,Financial Services ,44187,United Kingdom,USD,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
ECR,ECR MINERALS PLC,ORD 0.001P,GB00BYYDKX57,SHRS,Shares,Basic Materials,Basic Resources,42696,United Kingdom,GBX,AIM,,ASX1,AIMP
ECSC,ECSC GROUP PLC,ORD 1P,GB00BYMJ4J99,SHRS,Shares,Technology,Technology,42718,United Kingdom,GBX,AIM,,ASQ1,AMQ1
EDEN,EDEN RESEARCH PLC,ORD 1P,GB0001646941,SHRS,Shares,Basic Materials,Chemicals,41040,United Kingdom,GBX,AIM,,ASQ1,AMQ1
EDL,EDENVILLE ENERGY PLC,ORD 1P,GB00BN47NP32,SHRS,Shares,Basic Materials,Basic Resources,44202,United Kingdom,GBX,AIM,,ASQ1,AMQ1
EDGH,EDGE PERFORMANCE VCT PLC,H SHS 10P,GB00B44VMB16,SHRS,Shares,Financials,Financial Services ,41010,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
EDGI,EDGE PERFORMANCE VCT PLC,I SHS 10P,GB00B5B6VC05,SHRS,Shares,Financials,Financial Services ,41010,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
EDIN,EDINBURGH INVESTMENT TRUST PLC,ORD 25P,GB0003052338,SHRS,Shares,Financials,Financial Services ,37925,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
EWI,EDINBURGH WORLDWIDE INVESTMENT TRUST PLC,ORD 1P,GB00BHSRZC82,SHRS,Shares,Financials,Financial Services ,43493,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
EPIC,EDISTON PROPERTY INVESTMENT COMPANY PLC,ORD 1P,GB00BNGMZB68,SHRS,Shares,Real Estate,Real Estate ,41940,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
66XD,EDITA FOOD INDUSTRIES S.A.E.,GDR (EACH REPR 5 ORDS OF EGP0.2)(144A),US28106T1007,DPRS,Depositary receipts,Consumer Staples ,"Food, Beverage and Tobacco ",42096,Egypt,USD,MAIN MARKET,Standard GDRs,MISC,INTM
